timestamp,stock_code,company_name,total_chapters,financing_chapters_found,core_section_found,locate_method,chapters_list,status,error_msg
2026-06-07 18:42:29,688758,赛分科技,24,1,yes,heading_match,第四节 发行人基本情况 ........................................................................; 第四节 发行人基本情况,success,
2026-06-07 18:42:29,688775,影石创新,15,1,yes,fulltext_scan_v2,（一）发行人基本情况; （二）本次发行的有关中介机构; （三）本次发行其他有关机构; （一）本次发行基本情况; （二）本次发行上市的重要日期,success,
2026-06-07 18:42:29,688583,思看科技,24,1,yes,heading_match,第四节  发行人基本情况 ........................................................................; 第四节  发行人基本情况,success,
2026-06-07 18:42:29,688545,兴福电子,24,1,yes,heading_match,"第四节
发行人基本情况.........................................................................; 第四节
发行人基本情况",success,
2026-06-07 18:42:29,688411,海博思创,24,1,yes,heading_match,第四节 发行人基本情况 ........................................................................; 第四节 发行人基本情况,success,
2026-06-07 18:42:29,688757,胜科纳米,24,1,yes,heading_match,第四节 发行人基本情况 ........................................................................; 第四节 发行人基本情况,success,
2026-06-07 18:42:29,688755,汉邦科技,24,1,yes,heading_match,第四节  发行人基本情况 ........................................................................; 第四节  发行人基本情况,success,
2026-06-07 18:42:29,688729,屹唐股份,24,1,yes,heading_match,第四节 发行人基本情况 ........................................................................; 第四节 发行人基本情况,success,
2026-06-07 18:42:29,688759,必贝特,24,1,yes,heading_match,第四节 发行人基本情况 ........................................................................; 第四节 发行人基本情况,success,
2026-06-07 18:42:29,688765,禾元生物,24,1,yes,heading_match,第四节 发行人基本情况 ........................................................................; 第四节 发行人基本情况,success,
2026-06-07 18:42:29,688783,西安奕材,24,1,yes,heading_match,第四节  发行人基本情况 ........................................................................; 第四节  发行人基本情况,success,
2026-06-07 18:42:29,688727,恒坤新材,24,1,yes,heading_match,第四节 发行人基本情况 ........................................................................; 第四节 发行人基本情况,success,
2026-06-07 18:42:29,688795,摩尔线程,24,1,yes,heading_match,第四节 发行人基本情况 ........................................................................; 第四节 发行人基本情况,success,
2026-06-07 18:42:29,688796,百奥赛图,24,1,yes,heading_match,第四节 发行人基本情况 ........................................................................; 第四节 发行人基本情况,success,
2026-06-07 18:42:29,688790,昂瑞微,24,1,yes,heading_match,第四节 发行人基本情况.........................................................................; 第四节 发行人基本情况,success,
2026-06-07 18:42:29,688802,沐曦股份,24,1,yes,heading_match,第四节 发行人基本情况 ........................................................................; 第四节 发行人基本情况,success,
2026-06-07 18:42:29,688807,优迅股份,24,1,yes,heading_match,第四节 发行人基本情况 ........................................................................; 第四节 发行人基本情况,success,
2026-06-07 18:42:29,688805,健信超导,24,1,yes,heading_match,第四节 发行人基本情况 ........................................................................; 第四节 发行人基本情况,success,
2026-06-07 18:42:29,688809,强一股份,24,1,yes,heading_match,第四节  发行人基本情况 ........................................................................; 第四节  发行人基本情况,success,
